match_id,variant,team,weight,role,is_top_weighted,residual_norm,residual_l1,R
KXWCADVANCE-26JUN28RSACAN,single,NL,1.0,field,True,0.01172,0.03386,1e-05
KXWCADVANCE-26JUN29NEDMAR,single,AR,0.0797,field,False,0.00497,0.02189,0.05438
KXWCADVANCE-26JUN29NEDMAR,single,FR,0.4678,field,True,0.00497,0.02189,0.05438
KXWCADVANCE-26JUN29NEDMAR,single,MA,0.4177,winner,False,0.00497,0.02189,0.05438
KXWCADVANCE-26JUN29NEDMAR,single,US,0.0348,field,False,0.00497,0.02189,0.05438
KXWCADVANCE-26JUN29GERPAR,single,ES,0.11,field,False,0.01488,0.04803,0.0341
KXWCADVANCE-26JUN29GERPAR,single,FR,0.7553,next_opponent,True,0.01488,0.04803,0.0341
KXWCADVANCE-26JUN29GERPAR,single,NL,0.0641,field,False,0.01488,0.04803,0.0341
KXWCADVANCE-26JUN29GERPAR,single,PT,0.0682,field,False,0.01488,0.04803,0.0341
KXWCADVANCE-26JUN29GERPAR,single,US,0.0025,field,False,0.01488,0.04803,0.0341
KXWCADVANCE-26JUN29BRAJPN,single,BR,1.0,winner,True,0.01765,0.04793,0.00745
KXWCADVANCE-26JUN30MEXECU,single,MX,1.0,winner,True,0.02484,0.08024,0.00369
KXWCADVANCE-26JUN30FRASWE,single,FR,1.0,winner,True,0.05277,0.11037,0.00183
KXWCADVANCE-26JUN30CIVNOR,single,FR,0.411,field,False,0.01108,0.03575,0.00276
KXWCADVANCE-26JUN30CIVNOR,single,NO,0.589,winner,True,0.01108,0.03575,0.00276
KXWCADVANCE-26JUL01USABIH,single,COD,1.0,field,True,0.01929,0.06631,-7e-05
KXWCADVANCE-26JUL01BELSEN,single,FR,1.0,field,True,0.02911,0.0858,0.0035
KXWCADVANCE-26JUL01ENGCOD,single,GB,1.0,winner,True,0.01235,0.04453,2e-05
KXWCADVANCE-26JUL02SUIDZA,single,BIH,0.5,field,True,0.02245,0.07585,-4e-05
KXWCADVANCE-26JUL02SUIDZA,single,COD,0.5,field,False,0.02245,0.07585,-4e-05
KXWCADVANCE-26JUL02PORCRO,single,PT,1.0,winner,True,0.02508,0.07831,0.00179
KXWCADVANCE-26JUL02ESPAUT,single,ES,1.0,winner,True,0.02928,0.06505,0.00091
KXWCADVANCE-26JUL03COLGHA,single,BIH,0.5,field,True,0.0211,0.07571,-5e-05
KXWCADVANCE-26JUL03COLGHA,single,COD,0.5,field,False,0.0211,0.07571,-5e-05
KXWCADVANCE-26JUL03ARGCPV,single,FR,1.0,field,True,0.03717,0.10272,0.00091
KXWCADVANCE-26JUL03AUSEGY,single,AR,1.0,next_opponent,True,0.02741,0.0784,0.00093
KXWCADVANCE-26JUL04PARFRA,single,FR,1.0,winner,True,0.0247,0.07783,0.00088
KXWCADVANCE-26JUL04CANMAR,single,FR,1.0,next_opponent,True,0.0243,0.07599,0.00089
KXWCADVANCE-26JUL05MEXENG,single,AR,0.0359,field,False,0.02489,0.08632,0.04899
KXWCADVANCE-26JUL05MEXENG,single,GB,0.9641,winner,True,0.02489,0.08632,0.04899
KXWCADVANCE-26JUL05BRANOR,single,AR,0.2117,field,False,0.02027,0.08647,0.06427
KXWCADVANCE-26JUL05BRANOR,single,GB,0.1802,next_opponent,False,0.02027,0.08647,0.06427
KXWCADVANCE-26JUL05BRANOR,single,MX,0.066,field,False,0.02027,0.08647,0.06427
KXWCADVANCE-26JUL05BRANOR,single,NO,0.5422,winner,True,0.02027,0.08647,0.06427
KXWCADVANCE-26JUL06PORESP,single,ES,1.0,winner,True,0.02151,0.0791,0.05079
KXWCADVANCE-26JUL06USABEL,single,AR,0.0061,field,False,0.02154,0.08525,0.0358
KXWCADVANCE-26JUL06USABEL,single,BE,0.1712,winner,False,0.02154,0.08525,0.0358
KXWCADVANCE-26JUL06USABEL,single,ES,0.0864,next_opponent,False,0.02154,0.08525,0.0358
KXWCADVANCE-26JUL06USABEL,single,FR,0.6738,field,True,0.02154,0.08525,0.0358
KXWCADVANCE-26JUL06USABEL,single,GB,0.0608,field,False,0.02154,0.08525,0.0358
KXWCADVANCE-26JUL06USABEL,single,NO,0.0017,field,False,0.02154,0.08525,0.0358
KXWCADVANCE-26JUN28RSACAN,vwap3,NL,1.0,field,True,0.01098,0.03388,1e-05
KXWCADVANCE-26JUN29NEDMAR,vwap3,FR,0.6958,field,True,0.02962,0.07877,0.04864
KXWCADVANCE-26JUN29NEDMAR,vwap3,MA,0.3042,winner,False,0.02962,0.07877,0.04864
KXWCADVANCE-26JUN29GERPAR,vwap3,BR,0.2221,field,False,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29GERPAR,vwap3,ES,0.041,field,False,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29GERPAR,vwap3,FR,0.6386,next_opponent,True,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29GERPAR,vwap3,MA,0.0112,field,False,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29GERPAR,vwap3,NL,0.039,field,False,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29GERPAR,vwap3,PT,0.0481,field,False,0.01543,0.05394,0.03509
KXWCADVANCE-26JUN29BRAJPN,vwap3,BR,0.8831,winner,True,0.01101,0.03505,0.00745
KXWCADVANCE-26JUN29BRAJPN,vwap3,DE,0.1169,field,False,0.01101,0.03505,0.00745
KXWCADVANCE-26JUN30MEXECU,vwap3,FR,1.0,field,True,0.05007,0.13404,0.00351
KXWCADVANCE-26JUN30FRASWE,vwap3,FR,1.0,winner,True,0.06333,0.13881,0.00174
KXWCADVANCE-26JUN30CIVNOR,vwap3,FR,1.0,field,True,0.02716,0.08179,0.00238
KXWCADVANCE-26JUL01USABIH,vwap3,NL,1.0,field,True,0.03645,0.1261,-0.00038
KXWCADVANCE-26JUL01BELSEN,vwap3,FR,1.0,field,True,0.04044,0.11315,0.00312
KXWCADVANCE-26JUL01ENGCOD,vwap3,NL,1.0,field,True,0.02858,0.09427,-0.00036
KXWCADVANCE-26JUL02SUIDZA,vwap3,NL,1.0,field,True,0.04059,0.13769,-7e-05
KXWCADVANCE-26JUL02PORCRO,vwap3,PT,1.0,winner,True,0.03727,0.1363,0.002
KXWCADVANCE-26JUL02ESPAUT,vwap3,ES,1.0,winner,True,0.04203,0.12676,0.00089
KXWCADVANCE-26JUL03COLGHA,vwap3,NL,1.0,field,True,0.03765,0.13757,-7e-05
KXWCADVANCE-26JUL03ARGCPV,vwap3,FR,1.0,field,True,0.04401,0.14812,0.00054
KXWCADVANCE-26JUL03AUSEGY,vwap3,FR,1.0,field,True,0.03755,0.1346,0.0009
KXWCADVANCE-26JUL04PARFRA,vwap3,FR,1.0,winner,True,0.04345,0.1474,0.00082
KXWCADVANCE-26JUL04CANMAR,vwap3,FR,1.0,next_opponent,True,0.04004,0.14093,0.00083
KXWCADVANCE-26JUL05MEXENG,vwap3,FR,0.0126,field,False,0.06874,0.23128,0.04699
KXWCADVANCE-26JUL05MEXENG,vwap3,GB,0.9874,winner,True,0.06874,0.23128,0.04699
KXWCADVANCE-26JUL05BRANOR,vwap3,AR,0.1966,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,FR,0.0805,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,GB,0.1707,next_opponent,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,MX,0.0538,field,False,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL05BRANOR,vwap3,NO,0.4984,winner,True,0.03429,0.14575,0.0615
KXWCADVANCE-26JUL06PORESP,vwap3,ES,0.8812,winner,True,0.05332,0.2049,0.0533
KXWCADVANCE-26JUL06PORESP,vwap3,FR,0.1188,field,False,0.05332,0.2049,0.0533
KXWCADVANCE-26JUL06USABEL,vwap3,ES,0.6329,next_opponent,True,0.07694,0.27692,0.0324
KXWCADVANCE-26JUL06USABEL,vwap3,FR,0.3671,field,False,0.07694,0.27692,0.0324
