timestamp_utc,side,price_dollars,size_contracts
2026-07-06T23:30:35.333310+00:00,yes,0.0010,16866.00
2026-07-06T23:30:35.333310+00:00,yes,0.0020,21928.00
2026-07-06T23:30:35.333310+00:00,yes,0.0030,30000.00
2026-07-06T23:30:35.333310+00:00,yes,0.0040,7500.00
2026-07-06T23:30:35.333310+00:00,yes,0.0050,21000.00
2026-07-06T23:30:35.333310+00:00,yes,0.0060,6000.00
2026-07-06T23:30:35.333310+00:00,yes,0.0070,4310.00
2026-07-06T23:30:35.333310+00:00,yes,0.0080,3751.00
2026-07-06T23:30:35.333310+00:00,yes,0.0090,23333.00
2026-07-06T23:30:35.333310+00:00,yes,0.0100,103300.00
2026-07-06T23:30:35.333310+00:00,yes,0.0110,717493.50
2026-07-06T23:30:35.333310+00:00,yes,0.0120,67718.00
2026-07-06T23:30:35.333310+00:00,yes,0.0130,211105.21
2026-07-06T23:30:35.333310+00:00,no,0.3400,26996.41
2026-07-06T23:30:35.333310+00:00,no,0.3500,13362.33
2026-07-06T23:30:35.333310+00:00,no,0.3600,18608.40
2026-07-06T23:30:35.333310+00:00,no,0.3700,12803.84
2026-07-06T23:30:35.333310+00:00,no,0.3800,13278.84
2026-07-06T23:30:35.333310+00:00,no,0.3900,10912.51
2026-07-06T23:30:35.333310+00:00,no,0.4000,8498.22
2026-07-06T23:30:35.333310+00:00,no,0.4100,10633.80
2026-07-06T23:30:35.333310+00:00,no,0.4200,8805.60
2026-07-06T23:30:35.333310+00:00,no,0.4300,8274.17
2026-07-06T23:30:35.333310+00:00,no,0.4400,7852.10
2026-07-06T23:30:35.333310+00:00,no,0.4500,16489.43
2026-07-06T23:30:35.333310+00:00,no,0.4600,6136.03
2026-07-06T23:30:35.333310+00:00,no,0.4700,6789.76
2026-07-06T23:30:35.333310+00:00,no,0.4800,4892.22
2026-07-06T23:30:35.333310+00:00,no,0.4900,5489.88
2026-07-06T23:30:35.333310+00:00,no,0.5000,5305.14
2026-07-06T23:30:35.333310+00:00,no,0.5100,4969.14
2026-07-06T23:30:35.333310+00:00,no,0.5110,20001.00
2026-07-06T23:30:35.333310+00:00,no,0.5200,9565.40
2026-07-06T23:30:35.333310+00:00,no,0.5300,4067.44
2026-07-06T23:30:35.333310+00:00,no,0.5400,5047.40
2026-07-06T23:30:35.333310+00:00,no,0.5500,6202.77
2026-07-06T23:30:35.333310+00:00,no,0.5600,4949.80
2026-07-06T23:30:35.333310+00:00,no,0.5700,3709.74
2026-07-06T23:30:35.333310+00:00,no,0.5800,3755.77
2026-07-06T23:30:35.333310+00:00,no,0.5900,3238.41
2026-07-06T23:30:35.333310+00:00,no,0.6000,4494.18
2026-07-06T23:30:35.333310+00:00,no,0.6100,5970.66
2026-07-06T23:30:35.333310+00:00,no,0.6200,3543.20
2026-07-06T23:30:35.333310+00:00,no,0.6220,2051.00
2026-07-06T23:30:35.333310+00:00,no,0.6300,7792.65
2026-07-06T23:30:35.333310+00:00,no,0.6400,2375.08
2026-07-06T23:30:35.333310+00:00,no,0.6500,2289.05
2026-07-06T23:30:35.333310+00:00,no,0.6600,2474.06
2026-07-06T23:30:35.333310+00:00,no,0.6660,450.45
2026-07-06T23:30:35.333310+00:00,no,0.6700,2453.14
2026-07-06T23:30:35.333310+00:00,no,0.6800,3224.13
2026-07-06T23:30:35.333310+00:00,no,0.6900,2239.53
2026-07-06T23:30:35.333310+00:00,no,0.7000,3130.88
2026-07-06T23:30:35.333310+00:00,no,0.7100,3727.83
2026-07-06T23:30:35.333310+00:00,no,0.7200,2626.69
2026-07-06T23:30:35.333310+00:00,no,0.7300,1562.17
2026-07-06T23:30:35.333310+00:00,no,0.7400,2327.19
2026-07-06T23:30:35.333310+00:00,no,0.7500,2415.48
2026-07-06T23:30:35.333310+00:00,no,0.7600,1291.18
2026-07-06T23:30:35.333310+00:00,no,0.7700,1507.16
2026-07-06T23:30:35.333310+00:00,no,0.7800,1251.25
2026-07-06T23:30:35.333310+00:00,no,0.7900,2401.34
2026-07-06T23:30:35.333310+00:00,no,0.8000,1628.79
2026-07-06T23:30:35.333310+00:00,no,0.8100,1291.85
2026-07-06T23:30:35.333310+00:00,no,0.8200,1234.38
2026-07-06T23:30:35.333310+00:00,no,0.8300,20103.79
2026-07-06T23:30:35.333310+00:00,no,0.8400,940.43
2026-07-06T23:30:35.333310+00:00,no,0.8500,1108.67
2026-07-06T23:30:35.333310+00:00,no,0.8600,33.97
2026-07-06T23:30:35.333310+00:00,no,0.8700,1675.02
2026-07-06T23:30:35.333310+00:00,no,0.8800,112.23
2026-07-06T23:30:35.333310+00:00,no,0.8900,16330.72
2026-07-06T23:30:35.333310+00:00,no,0.8910,4444.00
2026-07-06T23:30:35.333310+00:00,no,0.9000,4533.57
2026-07-06T23:30:35.333310+00:00,no,0.9100,2753.37
2026-07-06T23:30:35.333310+00:00,no,0.9170,6.74
2026-07-06T23:30:35.333310+00:00,no,0.9200,19775.89
2026-07-06T23:30:35.333310+00:00,no,0.9210,2222.00
2026-07-06T23:30:35.333310+00:00,no,0.9300,2620.88
2026-07-06T23:30:35.333310+00:00,no,0.9320,10.00
2026-07-06T23:30:35.333310+00:00,no,0.9370,16.74
2026-07-06T23:30:35.333310+00:00,no,0.9380,250.00
2026-07-06T23:30:35.333310+00:00,no,0.9400,8496.52
2026-07-06T23:30:35.333310+00:00,no,0.9410,2549.50
2026-07-06T23:30:35.333310+00:00,no,0.9420,10.00
2026-07-06T23:30:35.333310+00:00,no,0.9470,10.00
2026-07-06T23:30:35.333310+00:00,no,0.9500,43034.80
2026-07-06T23:30:35.333310+00:00,no,0.9510,18644.00
2026-07-06T23:30:35.333310+00:00,no,0.9520,10.00
2026-07-06T23:30:35.333310+00:00,no,0.9550,30000.00
2026-07-06T23:30:35.333310+00:00,no,0.9560,210.64
2026-07-06T23:30:35.333310+00:00,no,0.9580,12.84
2026-07-06T23:30:35.333310+00:00,no,0.9600,59818.09
2026-07-06T23:30:35.333310+00:00,no,0.9610,3333.00
2026-07-06T23:30:35.333310+00:00,no,0.9640,20497.47
2026-07-06T23:30:35.333310+00:00,no,0.9650,30505.00
2026-07-06T23:30:35.333310+00:00,no,0.9670,1000.00
2026-07-06T23:30:35.333310+00:00,no,0.9680,5000.00
2026-07-06T23:30:35.333310+00:00,no,0.9690,20.00
2026-07-06T23:30:35.333310+00:00,no,0.9700,56709.10
2026-07-06T23:30:35.333310+00:00,no,0.9710,4101.21
2026-07-06T23:30:35.333310+00:00,no,0.9720,2000.00
2026-07-06T23:30:35.333310+00:00,no,0.9740,7666.00
2026-07-06T23:30:35.333310+00:00,no,0.9750,7828.00
2026-07-06T23:30:35.333310+00:00,no,0.9760,22870.84
2026-07-06T23:30:35.333310+00:00,no,0.9780,467.90
2026-07-06T23:30:35.333310+00:00,no,0.9800,710.06
2026-07-06T23:30:35.333310+00:00,no,0.9810,1650.00
2026-07-06T23:30:35.333310+00:00,no,0.9820,12666.63
2026-07-06T23:30:35.333310+00:00,no,0.9830,221109.24
2026-07-06T23:30:35.333310+00:00,no,0.9840,220000.00
2026-07-06T23:30:35.333310+00:00,no,0.9850,60692.36
2026-07-06T23:30:35.333310+00:00,no,0.9860,389248.26
